PRACA;PERIODO;AGRUPAMENTO;PUBLICO;DAY_PARTS;DIA_DA_SEMANA;OPM;OS;ALC2;TMEDIND
GRANDE VITORIA;01/09/2025;MASSA FM 91.9 FM;SEXO MASCULINO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1278.30;47.34;31556.57;58.20
GRANDE VITORIA;01/09/2025;MASSA FM 91.9 FM;CLASSE AB;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1556.76;57.65;35410.73;63.18
GRANDE VITORIA;01/09/2025;MASSA FM 91.9 FM;CLASSE C;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1136.02;42.07;25403.11;64.24
GRANDE VITORIA;01/09/2025;MASSA FM 91.9 FM;CLASSE DE;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;7.50;0.28;719.65;15.00
GRANDE VITORIA;01/09/2025;MASSA FM 91.9 FM;IDADE 10/19;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;75.73;2.80;2410.62;45.14
GRANDE VITORIA;01/09/2025;MASSA FM 91.9 FM;IDADE 20/29;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;239.90;8.88;9225.87;37.27
GRANDE VITORIA;01/09/2025;MASSA FM 91.9 FM;IDADE 30/39;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;741.30;27.45;19497.05;54.45
GRANDE VITORIA;01/09/2025;MASSA FM 91.9 FM;IDADE 40/49;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;762.95;28.25;17098.98;64.15
GRANDE VITORIA;01/09/2025;MASSA FM 91.9 FM;IDADE 50+;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;880.39;32.60;13300.98;95.19
GRANDE VITORIA;01/09/2025;MASSA FM 91.9 FM;ZONA CARIACICA + VIANA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;609.71;22.58;14306.48;61.22
GRANDE VITORIA;01/09/2025;MASSA FM 91.9 FM;ZONA GUARAPARI;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;168.56;6.24;1488.06;163.07
GRANDE VITORIA;01/09/2025;MASSA FM 91.9 FM;ZONA SERRA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;831.61;30.80;15056.29;79.32
GRANDE VITORIA;01/09/2025;MASSA FM 91.9 FM;ZONA VILA VELHA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;734.34;27.20;20464.13;51.40
GRANDE VITORIA;01/09/2025;MASSA FM 91.9 FM;ZONA VITORIA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;356.05;13.19;10218.54;50.10
GRANDE VITORIA;01/09/2025;RADIO ANTENA 1 FM;SEXO AMBOS;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;6456.99;100.00;112408.87;82.43
GRANDE VITORIA;01/09/2025;RADIO ANTENA 1 FM;SEXO FEMININO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;3194.21;49.47;57888.56;79.27
GRANDE VITORIA;01/09/2025;RADIO ANTENA 1 FM;SEXO MASCULINO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;3262.78;50.53;54520.31;86.11
GRANDE VITORIA;01/09/2025;RADIO ANTENA 1 FM;CLASSE AB;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;4157.84;64.39;80630.01;74.15
GRANDE VITORIA;01/09/2025;RADIO ANTENA 1 FM;CLASSE C;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1644.35;25.47;24662.08;96.01
GRANDE VITORIA;01/09/2025;RADIO ANTENA 1 FM;CLASSE DE;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;654.80;10.14;7116.78;132.30
GRANDE VITORIA;01/09/2025;RADIO ANTENA 1 FM;IDADE 10/19;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;55.90;0.87;1073.26;75.00
GRANDE VITORIA;01/09/2025;RADIO ANTENA 1 FM;IDADE 20/29;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;557.50;8.63;7589.62;105.47
GRANDE VITORIA;01/09/2025;RADIO ANTENA 1 FM;IDADE 30/39;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;944.39;14.63;25479.75;53.22
GRANDE VITORIA;01/09/2025;RADIO ANTENA 1 FM;IDADE 40/49;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;2483.83;38.47;44154.87;81.00
GRANDE VITORIA;01/09/2025;RADIO ANTENA 1 FM;IDADE 50+;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;2415.37;37.41;34111.37;101.58
GRANDE VITORIA;01/09/2025;RADIO ANTENA 1 FM;ZONA CARIACICA + VIANA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;519.50;8.05;15248.93;49.03
GRANDE VITORIA;01/09/2025;RADIO ANTENA 1 FM;ZONA GUARAPARI;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;521.98;8.08;7552.07;99.32
GRANDE VITORIA;01/09/2025;RADIO ANTENA 1 FM;ZONA SERRA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1891.29;29.29;24370.24;111.45
GRANDE VITORIA;01/09/2025;RADIO ANTENA 1 FM;ZONA VILA VELHA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;2342.33;36.28;39825.22;84.42
GRANDE VITORIA;01/09/2025;RADIO ANTENA 1 FM;ZONA VITORIA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1181.89;18.30;25412.41;66.58
GRANDE VITORIA;01/09/2025;RADIO CBN FM;SEXO AMBOS;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;4312.58;100.00;68949.54;90.04
GRANDE VITORIA;01/09/2025;RADIO CBN FM;SEXO FEMININO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1250.98;29.01;21862.82;82.24
GRANDE VITORIA;01/09/2025;RADIO CBN FM;SEXO MASCULINO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;3061.61;70.99;47086.72;93.38
GRANDE VITORIA;01/09/2025;RADIO CBN FM;CLASSE AB;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;2069.96;48.00;40230.98;74.05
GRANDE VITORIA;01/09/2025;RADIO CBN FM;CLASSE C;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1980.80;45.93;25518.60;111.47
GRANDE VITORIA;01/09/2025;RADIO CBN FM;CLASSE DE;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;261.82;6.07;3199.96;117.49
GRANDE VITORIA;01/09/2025;RADIO CBN FM;IDADE 10/19;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;20.14;0.47;966.77;30.00
GRANDE VITORIA;01/09/2025;RADIO CBN FM;IDADE 20/29;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;553.03;12.82;10306.88;77.16
GRANDE VITORIA;01/09/2025;RADIO CBN FM;IDADE 30/39;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;976.11;22.63;20235.64;69.28
GRANDE VITORIA;01/09/2025;RADIO CBN FM;IDADE 40/49;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1111.60;25.78;14289.26;112.01
GRANDE VITORIA;01/09/2025;RADIO CBN FM;IDADE 50+;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1651.69;38.30;23150.98;102.44
GRANDE VITORIA;01/09/2025;RADIO CBN FM;ZONA CARIACICA + VIANA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;776.86;18.01;10278.45;108.50
GRANDE VITORIA;01/09/2025;RADIO CBN FM;ZONA GUARAPARI;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;529.09;12.27;5459.11;139.34
GRANDE VITORIA;01/09/2025;RADIO CBN FM;ZONA SERRA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;882.72;20.47;15522.87;81.53
GRANDE VITORIA;01/09/2025;RADIO CBN FM;ZONA VILA VELHA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1367.32;31.71;23165.64;85.00
GRANDE VITORIA;01/09/2025;RADIO CBN FM;ZONA VITORIA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;756.60;17.54;14523.46;75.01
GRANDE VITORIA;01/09/2025;TROPICAL FM;SEXO AMBOS;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;14599.71;100.00;290106.38;72.28
GRANDE VITORIA;01/09/2025;TROPICAL FM;SEXO FEMININO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;6741.54;46.18;146040.44;66.28
GRANDE VITORIA;01/09/2025;TROPICAL FM;SEXO MASCULINO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;7858.17;53.82;144065.94;78.33
GRANDE VITORIA;01/09/2025;TROPICAL FM;CLASSE AB;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;4997.60;34.23;121945.11;59.01
GRANDE VITORIA;01/09/2025;TROPICAL FM;CLASSE C;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;7534.79;51.61;134623.05;80.36
GRANDE VITORIA;01/09/2025;TROPICAL FM;CLASSE DE;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;2067.31;14.16;33538.22;88.46
GRANDE VITORIA;01/09/2025;TROPICAL FM;IDADE 10/19;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1784.30;12.22;25698.18;99.59
GRANDE VITORIA;01/09/2025;TROPICAL FM;IDADE 20/29;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;5788.83;39.65;104329.57;79.54
GRANDE VITORIA;01/09/2025;TROPICAL FM;IDADE 30/39;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;3525.38;24.15;85437.30;59.25
